"╩","┻","┻","╇","╋","┻","┻","╇","╋","┻","┻","╇","╋","╇","╇","╋","╋","╇","╇","╋","╋","┻","┻","┻","┻","┻","┻","┻","┻","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╇","╋","╋","╋","╋","┻","┻","┻","┻","┻","┻","┻","┻","╇","╇","╇","╇","╇","╋","╋","╇","╇","╋","╋","╇","╋","╋","╋","╋","┻","┻","╇","╋","╩","╬","╇","╋","╬","╇","╋","╬","┻","┻","╩","┻","┻","╩","╇","╋","╬","╇","╋","╬","╇","╋","╬","┻","┻","╩","╇","╋","╬","┻","┻","┻","╇","┻","┻","┻","╋","┻","╋","┻","╇"
"╪","┿","┿","╪","╋","┿","┿","╪","╋","┿","┿","╪","╋","┿","┿","╈","╈","┿","┿","╈","╈","┿","┿","╇","╇","┿","┿","╇","╇","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","┿","┿","╈","╈","╈","╈","┿","┿","┿","┿","╇","╇","╇","╇","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┿","┿","╪","╋","╪","╋","╪","╈","╈","╪","╈","╈","╪","╇","╇","╪","╇","╇","╪","╋","╋","╪","╋","╋","╪","╈","╈","╪","╇","╇","╪","╋","╋","┿","╪","┿","╪","┿","╇","┿","╈","┿","╈","┿","╇"
"╫","╫","╋","╂","╂","╫","╋","╂","╂","╫","╋","╂","╂","╂","╊","╂","╊","╂","╉","╂","╉","╂","╊","╂","╊","╂","╉","╂","╉","╂","╊","╂","╂","╂","╊","╊","╊","╂","╉","╂","╂","╂","╉","╉","╉","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╫","╋","╂","╂","╋","╫","╊","╫","╊","╉","╫","╉","╊","╫","╊","╉","╫","╉","╊","╫","╊","╉","╫","╉","╋","╫","╋","╋","╫","╋","╋","╫","╋","╫","╂","╫","╂","╉","╂","╊","╂","╊","╂","╉","╂"
"╬","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╬","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╬","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋","╋"
"╴","─","━","┤","┨","─","━","┤","┨","─","━","┤","┨","┬","┮","┰","┲","┐","┑","┒","┓","┴","┶","┸","┺","┘","┙","┚","┛","┼","┾","╀","╁","╂","╄","╆","╊","┤","┥","┦","┧","┨","┩","┪","┫","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","─","╍","┤","┨","━","╢","┮","╥","┲","┑","╖","┓","┶","╨","┺","┙","╜","┛","┾","╫","╊","┥","╢","┫","┯","╥","┳","┷","╨","┻","┿","╫","╋","╴","┘","─","┐","╸","┚","╼","┒","╼","┧","╾","┦"
"╵","┴","┷","│","┃","┴","┷","│","┃","┴","┷","│","┃","├","┝","┟","┢","┤","┥","┧","┪","└","┕","┖","┗","┘","┙","┚","┛","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┴","┷","╎","╏","╧","┃","╞","┟","┢","╡","┧","┪","╘","┖","┗","╛","┚","┛","╞","┠","┣","╡","┨","┫","╪","╁","╈","╧","┸","┻","╪","╂","╋","┘","╵","└","│","┙","╹","┕","╽","┶","╽","┵","╿"
"╶","─","━","├","┠","─","━","├","┠","─","━","├","┠","┌","┍","┎","┏","┬","┭","┰","┱","└","┕","┖","┗","┴","┵","┸","┹","├","┝","┞","┟","┠","┡","┢","┣","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","─","╍","├","┠","━","╟","┍","╓","┏","┭","╥","┱","┕","╙","┗","┵","╨","┹","┝","╟","┣","┽","╫","╉","┯","╥","┳","┷","╨","┻","┿","╫","╋","─","└","╶","┌","╾","┖","╺","┎","╼","┟","╾","┞"
"╷","┬","┯","│","┃","┬","┯","│","┃","┬","┯","│","┃","┌","┍","┎","┏","┐","┑","┒","┓","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┬","┭","┮","┯","┰","┱","┲","┳","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┬","┯","│","┃","╤","┃","╒","┎","┏","╕","┒","┓","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╤","┰","┳","╪","╀","╇","╪","╂","╋","┐","│","┌","╷","┑","╿","┍","╻","┮","╽","┭","╿"
"╸","╾","━","┥","┫","╾","━","┥","┫","╾","━","┥","┫","┭","┯","┱","┳","┑","┑","┓","┓","┵","┷","┹","┻","┙","┙","┛","┛","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┭","┭","┯","┯","┱","┱","┳","┳","┵","┵","┷","┷","┹","┹","┻","┻","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","╾","━","┥","┫","━","┫","┯","┱","┳","┑","┓","┓","┷","┹","┻","┙","┛","┛","┿","╉","╋","┥","┫","┫","┯","┱","┳","┷","┹","┻","┿","╉","╋","╸","┙","╾","┑","╸","┛","━","┓","━","┪","╾","┩"
"╹","┸","┻","╿","┃","┸","┻","╿","┃","┸","┻","╿","┃","┞","┡","┠","┣","┦","┩","┨","┫","┖","┗","┖","┗","┚","┛","┚","┛","┞","┡","┞","┠","┠","┡","┣","┣","┦","┩","┦","┨","┨","┩","┫","┫","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","┸","┻","╿","┃","┻","┃","┡","┠","┣","┩","┨","┫","┗","┖","┗","┛","┚","┛","┡","┠","┣","┩","┨","┫","╇","╂","╋","┻","┸","┻","╇","╂","╋","┚","╹","┖","╿","┛","╹","┗","┃","┺","┃","┹","╿"
"╺","╼","━","┝","┣","╼","━","┝","┣","╼","━","┝","┣","┍","┍","┏","┏","┮","┯","┲","┳","┕","┕","┗","┗","┶","┷","┺","┻","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┶","┷","┶","┷","┺","┻","┺","┻","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","╼","━","┝","┣","━","┣","┍","┏","┏","┯","┲","┳","┕","┗","┗","┷","┺","┻","┝","┣","┣","┿","╊","╋","┯","┲","┳","┷","┺","┻","┿","╊","╋","╼","┕","╺","┍","━","┗","╺","┏","╼","┢","━","┡"
"╻","┰","┳","╽","┃","┰","┳","╽","┃","┰","┳","╽","┃","┎","┏","┎","┏","┒","┓","┒","┓","┟","┢","┠","┣","┧","┪","┨","┫","┟","┢","┠","┟","┠","┣","┢","┣","┧","┪","┨","┧","┨","┫","┪","┫","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","┰","┳","╽","┃","┳","┃","┏","┎","┏","┓","┒","┓","┢","┠","┣","┪","┨","┫","┢","┠","┣","┪","┨","┫","┳","┰","┳","╈","╂","╋","╈","╂","╋","┒","╽","┎","╻","┓","┃","┏","╻","┲","╽","┱","┃"
"╼","╼","━","┾","╊","╼","━","┾","╊","╼","━","┾","╊","┮","┮","┲","┲","┮","┯","┲","┳","┶","┶","┺","┺","┶","┷","┺","┻","┾","┾","╄","╆","╊","╄","╆","╊","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┶","┷","┶","┷","┺","┻","┺","┻","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","╼","━","┾","╊","━","╊","┮","┲","┲","┯","┲","┳","┶","┺","┺","┷","┺","┻","┾","╊","╊","┿","╊","╋","┯","┲","┳","┷","┺","┻","┿","╊","╋","╼","┶","╼","┮","━","┺","╼","┲","╼","╆","━","╄"
"╽","╁","╈","╽","┃","╁","╈","╽","┃","╁","╈","╽","┃","┟","┢","┟","┢","┧","┪","┧","┪","┟","┢","┠","┣","┧","┪","┨","┫","┟","┢","┠","┟","┠","┣","┢","┣","┧","┪","┨","┧","┨","┫","┪","┫","╁","╅","╆","╈","╁","╅","╆","╈","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╁","╈","╽","┃","╈","┃","┢","┟","┢","┪","┧","┪","┢","┠","┣","┪","┨","┫","┢","┠","┣","┪","┨","┫","╈","╁","╈","╈","╂","╋","╈","╂","╋","┧","╽","┟","╽","┪","┃","┢","╽","╆","╽","╅","┃"
"╾","╾","━","┽","╉","╾","━","┽","╉","╾","━","┽","╉","┭","┯","┱","┳","┭","┭","┱","┱","┵","┷","┹","┻","┵","┵","┹","┹","┽","┿","╃","╅","╉","╇","╈","╋","┽","┽","╃","╅","╉","╃","╅","╉","┭","┭","┯","┯","┱","┱","┳","┳","┵","┵","┷","┷","┹","┹","┻","┻","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","╾","━","┽","╉","━","╉","┯","┱","┳","┭","┱","┱","┷","┹","┻","┵","┹","┹","┿","╉","╋","┽","╉","╉","┯","┱","┳","┷","┹","┻","┿","╉","╋","╾","┵","╾","┭","╾","┹","━","┱","━","╅","╾","╃"
"╿","╀","╇","╿","┃","╀","╇","╿","┃","╀","╇","╿","┃","┞","┡","┠","┣","┦","┩","┨","┫","┞","┡","┞","┡","┦","┩","┦","┩","┞","┡","┞","┠","┠","┡","┣","┣","┦","┩","┦","┨","┨","┩","┫","┫","╀","╃","╄","╇","╂","╉","╊","╋","╀","╃","╄","╇","╀","╃","╄","╇","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╀","╇","╿","┃","╇","┃","┡","┠","┣","┩","┨","┫","┡","┞","┡","┩","┦","┩","┡","┠","┣","┩","┨","┫","╇","╂","╋","╇","╀","╇","╇","╂","╋","┦","╿","┞","╿","┩","╿","┡","┃","╄","┃","╃","╿"
